"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","2/6","215/8863",0.00823853132197571,0.0832371504103118,0.0531966750742594,"154/2248",2
"hsa00730","hsa00730","Thiamine metabolism","1/6","15/8863",0.0101145486140791,0.0832371504103118,0.0531966750742594,"248",1
"hsa04020","hsa04020","Calcium signaling pathway","2/6","254/8863",0.011370996811748,0.0832371504103118,0.0531966750742594,"154/2248",2
"hsa04977","hsa04977","Vitamin digestion and absorption","1/6","26/8863",0.0174775767070687,0.0832371504103118,0.0531966750742594,"113235",1
"hsa00790","hsa00790","Folate biosynthesis","1/6","28/8863",0.0188113928457992,0.0832371504103118,0.0531966750742594,"248",1
"hsa01523","hsa01523","Antifolate resistance","1/6","30/8863",0.0201436997160498,0.0832371504103118,0.0531966750742594,"113235",1
"hsa04981","hsa04981","Folate transport and metabolism","1/6","31/8863",0.0208092876025779,0.0832371504103118,0.0531966750742594,"113235",1
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/6","59/8863",0.0392933879681694,0.123265732035524,0.078778851300899,"154",1
"hsa04978","hsa04978","Mineral absorption","1/6","61/8863",0.0406024753516711,0.123265732035524,0.078778851300899,"113235",1
"hsa04924","hsa04924","Renin secretion","1/6","69/8863",0.0458239700054514,0.123265732035524,0.078778851300899,"154",1
"hsa05218","hsa05218","Melanoma","1/6","73/8863",0.0484258232996703,0.123265732035524,0.078778851300899,"2248",1
"hsa04970","hsa04970","Salivary secretion","1/6","97/8863",0.0639131046431682,0.149130577500726,0.0953090156959526,"154",1
"hsa05224","hsa05224","Breast cancer","1/6","148/8863",0.0961271000710251,0.174747078945046,0.111680463987435,"2248",1
"hsa05226","hsa05226","Gastric cancer","1/6","150/8863",0.0973713184305813,0.174747078945046,0.111680463987435,"2248",1
"hsa01240","hsa01240","Biosynthesis of cofactors","1/6","154/8863",0.0998554736828833,0.174747078945046,0.111680463987435,"248",1
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","1/6","154/8863",0.0998554736828833,0.174747078945046,0.111680463987435,"154",1
"hsa04022","hsa04022","cGMP-PKG signaling pathway","1/6","166/8863",0.107273781961642,0.176686229113292,0.112919770485939,"154",1
"hsa04082","hsa04082","Neuroactive ligand signaling","1/6","199/8863",0.127411918819543,0.183487742792424,0.117266602536512,"154",1
"hsa04015","hsa04015","Rap1 signaling pathway","1/6","212/8863",0.135240470363332,0.183487742792424,0.117266602536512,"2248",1
"hsa04081","hsa04081","Hormone signaling","1/6","219/8863",0.139431542642717,0.183487742792424,0.117266602536512,"154",1
"hsa04024","hsa04024","cAMP signaling pathway","1/6","226/8863",0.143605674477452,0.183487742792424,0.117266602536512,"154",1
"hsa04810","hsa04810","Regulation of actin cytoskeleton","1/6","232/8863",0.147170060114011,0.183487742792424,0.117266602536512,"2248",1
"hsa04014","hsa04014","Ras signaling pathway","1/6","238/8863",0.150722074436634,0.183487742792424,0.117266602536512,"2248",1
"hsa04010","hsa04010","MAPK signaling pathway","1/6","300/8863",0.186710048066109,0.21782838941046,0.139213632329993,"2248",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","1/6","362/8863",0.221418125970148,0.243174899660093,0.155412529857954,"2248",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","1/6","370/8863",0.225805263970086,0.243174899660093,0.155412529857954,"154",1
"hsa05010","hsa05010","Alzheimer disease","1/6","391/8863",0.237223595789733,0.246009654893057,0.157224215533157,"10313",1
"hsa04740","hsa04740","Olfactory transduction","1/6","453/8863",0.270119314807225,0.270119314807225,0.17263264480161,"81327",1
